sample1,sample2
adu_lf_86_180507,adu_lf_86_180507
adu_lf_87_180507,adu_lf_87_180507
adu_lf_88_180507,adu_lf_88_180507
adu_rf_12_180510,adu_rf_12_180510
adu_rf_13_180510,adu_rf_13_180510
adu_rf_14_180510,adu_rf_14_180510
adu_sd_122_180514,adu_sd_122_180514
adu_sd_123_180514,adu_sd_123_180514
adu_sd_124_180514,adu_sd_124_180514
adu_uf_10_180511,adu_uf_10_180511
adu_uf_11_180511,adu_uf_11_180511
aur_lf_89_180507,aur_lf_89_180507
aur_lf_90_180507,aur_lf_90_180507
aur_lf_91_180507,aur_lf_91_180507
aur_rf_18_180510,aur_rf_18_180510
aur_rf_19_180510,aur_rf_19_180510
aur_rf_20_180510,aur_rf_20_180510
aur_sd_125_180514,aur_sd_125_180514
aur_sd_126_180514,aur_sd_126_180514
aur_sd_127_180514,aur_sd_127_180514
aur_uf_15_180511,aur_uf_15_180511
aur_uf_16_180511,aur_uf_16_180511
aur_uf_17_180511,aur_uf_17_180511
bio_lf_92_180507,bio_lf_92_180507
bio_lf_93_180507,bio_lf_93_180507
bio_lf_94_180507,bio_lf_94_180507
bio_rf_24_180510,bio_rf_24_180510
bio_rf_25_180510,bio_rf_25_180510
bio_rf_70_180510,bio_rf_70_180510
bio_sd_128_180514,bio_sd_128_180514
bio_sd_129_180514,bio_sd_129_180514
bio_sd_130_180514,bio_sd_130_180514
bio_uf_21_180511,bio_uf_21_180511
bio_uf_22_180511,bio_uf_22_180511
bio_uf_23_180511,bio_uf_23_180511
col_lf_107_180507,col_lf_107_180507
col_lf_108_180507,col_lf_108_180507
col_lf_109_180507,col_lf_109_180507
col_rf_27_180510,col_rf_27_180510
col_rf_28_180510,col_rf_28_180510
col_rf_29_180510,col_rf_29_180510
col_rf_72_180510,col_rf_72_180510
col_sd_131_180514,col_sd_131_180514
col_sd_132_180514,col_sd_132_180514
col_sd_133_180514,col_sd_133_180514
col_uf_26_180511,col_uf_26_180511
col_uf_71_180511,col_uf_71_180511
col_uf_73_180511,col_uf_73_180511
gen_lf_110_180507,gen_lf_110_180507
gen_lf_111_180507,gen_lf_111_180507
gen_lf_112_180507,gen_lf_112_180507
gen_rf_33_180510,gen_rf_33_180510
gen_rf_34_180510,gen_rf_34_180510
gen_rf_35_180510,gen_rf_35_180510
gen_sd_134_180514,gen_sd_134_180514
gen_sd_135_180514,gen_sd_135_180514
gen_sd_136_180514,gen_sd_136_180514
gen_uf_30_180511,gen_uf_30_180511
gen_uf_31_180511,gen_uf_31_180511
gen_uf_32_180511,gen_uf_32_180511
gla_lf_113_180507,gla_lf_113_180507
gla_lf_114_180507,gla_lf_114_180507
gla_lf_115_180507,gla_lf_115_180507
gla_rf_39_180510,gla_rf_39_180510
gla_rf_40_180510,gla_rf_40_180510
gla_rf_41_180510,gla_rf_41_180510
gla_sd_137_180514,gla_sd_137_180514
gla_sd_138_180514,gla_sd_138_180514
gla_sd_139_180514,gla_sd_139_180514
gla_uf_36_180511,gla_uf_36_180511
gla_uf_37_180511,gla_uf_37_180511
gla_uf_38_180511,gla_uf_38_180511
mul_lf_116_180507,mul_lf_116_180507
mul_lf_117_180507,mul_lf_117_180507
mul_lf_118_180507,mul_lf_118_180507
mul_rf_48_180510,mul_rf_48_180510
mul_rf_49_180510,mul_rf_49_180510
mul_rf_50_180510,mul_rf_50_180510
mul_sd_140_180514,mul_sd_140_180514
mul_sd_141_180514,mul_sd_141_180514
mul_sd_142_180514,mul_sd_142_180514
mul_uf_45_180511,mul_uf_45_180511
mul_uf_46_180511,mul_uf_46_180511
mul_uf_47_180511,mul_uf_47_180511
pel_lf_119_180507,pel_lf_119_180507
pel_lf_120_180507,pel_lf_120_180507
pel_lf_121_180507,pel_lf_121_180507
pel_rf_55_180510,pel_rf_55_180510
pel_rf_56_180510,pel_rf_56_180510
pel_rf_57_180510,pel_rf_57_180510
pel_sd_143_180514,pel_sd_143_180514
pel_sd_144_180514,pel_sd_144_180514
pel_sd_145_180514,pel_sd_145_180514
pel_uf_51_180511,pel_uf_51_180511
pel_uf_52_180511,pel_uf_52_180511
pel_uf_53_180511,pel_uf_53_180511
pel_uf_54_180511,pel_uf_54_180511
ret_lf_95_180507,ret_lf_95_180507
ret_lf_96_180507,ret_lf_96_180507
ret_lf_97_180507,ret_lf_97_180507
ret_rf_61_180510,ret_rf_61_180510
ret_rf_62_180510,ret_rf_62_180510
ret_rf_63_180510,ret_rf_63_180510
ret_sd_146_180514,ret_sd_146_180514
ret_sd_147_180514,ret_sd_147_180514
ret_sd_148_180514,ret_sd_148_180514
ret_uf_58_180511,ret_uf_58_180511
ret_uf_59_180511,ret_uf_59_180511
ret_uf_60_180511,ret_uf_60_180511
san_lf_100_180507,san_lf_100_180507
san_lf_98_180507,san_lf_98_180507
san_lf_99_180507,san_lf_99_180507
san_rf_67_180510,san_rf_67_180510
san_rf_68_180510,san_rf_68_180510
san_rf_69_180510,san_rf_69_180510
san_sd_149_180514,san_sd_149_180514
san_sd_150_180514,san_sd_150_180514
san_sd_151_180514,san_sd_151_180514
san_uf_64_180511,san_uf_64_180511
san_uf_65_180511,san_uf_65_180511
san_uf_66_180511,san_uf_66_180511
sil_lf_101_180507,sil_lf_101_180507
sil_lf_102_180507,sil_lf_102_180507
sil_lf_103_180507,sil_lf_103_180507
sil_rf_77_180510,sil_rf_77_180510
sil_rf_78_180510,sil_rf_78_180510
sil_rf_79_180510,sil_rf_79_180510
sil_sd_152_180514,sil_sd_152_180514
sil_sd_153_180514,sil_sd_153_180514
sil_sd_154_180514,sil_sd_154_180514
sil_uf_74_180511,sil_uf_74_180511
sil_uf_75_180511,sil_uf_75_180511
sil_uf_76_180511,sil_uf_76_180511
umb_lf_104_180507,umb_lf_104_180507
umb_lf_105_180507,umb_lf_105_180507
umb_lf_106_180507,umb_lf_106_180507
umb_rf_83_180510,umb_rf_83_180510
umb_rf_84_180510,umb_rf_84_180510
umb_rf_85_180510,umb_rf_85_180510
umb_sd_155_180514,umb_sd_155_180514
umb_sd_156_180514,umb_sd_156_180514
umb_sd_157_180514,umb_sd_157_180514
umb_uf_80_180511,umb_uf_80_180511
umb_uf_81_180511,umb_uf_81_180511
umb_uf_82_180511,umb_uf_82_180511
